index,rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
5,6,isc20,Wolf,no,-1.0,Intel,Intel,7/13/2020,None,DAOS,1.1,10,420,42,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,0.0,-1.0,-1,None,None,None,30.0,2.0,60.0,512,3DXP,DIMM,10.0,600.0,Omnipath,178.29,212.83,120.62,161.04,4828.03,4600.36,2795.34,2317.04,3231.39,4109.81,2768.94,4194.62,2126.15,164.77,3493.56,758.71
0,1,isc20,Wolf,no,-1.0,Intel,Intel,7/13/2020,None,DAOS,1.1,52,1664,32,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,0.0,-1.0,-1,None,None,None,30.0,2.0,60.0,512,3DXP,DIMM,10.0,600.0,Omnipath,243.64,575.59,261.22,520.92,12326.3,11928.8,6897.99,5646.53,8620.14,10723.2,6695.91,8838.37,5103.14,371.67,8649.57,1792.98
36,37,isc20,bracewell,no,-1.0,CSIRO,Dell/DDN,7/13/2020,8/8/2018,Lustre,2.12.3,10,400,40,CentOS,7.7.1908,3.1,8.0,4.0,192,NAND,NVMe,IB-EDR,8.0,20.0,160.0,192,NAND,NVMe,0.15,24.0,IB-EDR,135.03,133.62,10.44,13.46,206.33,485.45,186.4,150.71,208.81,378.14,124.15,532.46,227.7,39.9,248.81,99.64
50,51,sc19,bracewell,no,-1.0,CSIRO,Dell/ThinkParQ,11/8/2019,10/2/2018,beegfs,7.1.3,10,160,16,SUSE Linux Enterprise,12 SP 4,4.12,2.0,24.0,384,NAND,NVMe,IB-EDR,9.0,24.0,216.0,192,NAND,NVMe,0.15,32.4,IB-EDR,111.55,92.99,2.11,59.47,152.16,921.71,230.53,11.03,38.05,130.82,18.78,2789.71,141.25,33.77,132.15,66.8
39,40,sc19,bracewell scratch2,no,-1.0,CSIRO,Dell/ThinkParQ,11/12/2019,10/2/2018,beegfs,7.1.3,26,260,10,SUSE Linux Enterprise,12 SP 4,4.12,2.0,24.0,384,NAND,NVMe,IB-EDR,12.0,24.0,288.0,192,NAND,NVMe,0.15,43.2,IB-EDR,228.98,180.44,5.43,101.64,143.57,882.77,231.88,10.95,36.15,139.09,17.56,2910.62,177.59,69.1,130.23,94.86
107,108,sc19,dm11,no,-1.0,"Janelia Research Campus, HHMI",None,11/10/2019,3/1/2018,None,8.1.2,10,760,76,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,12.0,15.0,-1,NAND,SAS,40GbE,56.0,15.0,840.0,-1,HDD,SATA,0.02,16.8,Ethernet,16.13,13.39,0.04,5.95,102.15,290.65,12.64,0.99,18.05,13.61,0.35,123.22,14.61,2.61,15.82,6.42
45,46,sc19,iFLYTEK,no,-1.0,iFLYTEK,Yanrong,11/1/2019,19-Sep,YRCloudFile,6,10,200,20,CentOS,7.4.1708,4.12.14,20.0,1.0,128,NAND,NVMe,IB-EDR,10.0,2.0,20.0,128,NAND,NVMe,0.15,3.0,IB-EDR,33.18,10.96,6.19,14.99,268.01,1084.31,199.0,179.91,241.76,909.83,258.9,3110.12,237.64,13.55,455.18,78.54
54,55,sc19,iFLYTEK,no,-1.0,iFLYTEK,Yanrong,11/5/2019,19-Sep,YRCloudFile,6,10,200,20,CentOS,7.4.1708,4.12.14,20.0,1.0,128,NAND,NVMe,IB-EDR,10.0,2.0,20.0,128,NAND,NVMe,0.15,3.0,IB-EDR,25.72,9.58,4.48,15.33,195.2,943.16,163.99,157.2,236.34,889.57,217.29,1268.88,191.48,11.41,358.87,63.98
112,113,sc19,nearline4,no,-1.0,"Janelia Research Campus, HHMI",Qumulo,11/10/2019,11/1/2018,QumuloFS,2.14.0.1,10,760,76,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,-1.0,3.0,-1,NAND,SATA,None,40.0,12.0,480.0,-1,HDD,SATA,0.02,9.6,Ethernet,6.71,8.32,0.13,4.99,8.17,147.78,5.64,0.18,11.88,10.28,0.18,31.02,7.07,2.45,5.49,3.67
111,112,sc19,nrs,no,-1.0,"Janelia Research Campus, HHMI",Qumulo,11/10/2019,9/1/2016,QumuloFS,2.14.0.1,10,760,76,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,-1.0,13.0,-1,NAND,SATA,None,20.0,26.0,520.0,-1,HDD,SATA,0.02,10.4,Ethernet,5.44,13.37,0.17,5.71,9.03,171.2,10.77,0.21,9.81,9.07,0.18,35.32,8.01,2.88,6.11,4.19
78,79,sc19,sharedscratch,no,-1.0,"Janelia Research Campus, HHMI",WekaIO,11/4/2019,19-Feb,wekaio,3.4.6,10,400,40,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,0.0,-1.0,-1,None,None,None,20.0,4.0,80.0,96,NAND,NVMe,0.15,12.0,Ethernet,21.65,17.85,7.28,25.19,22.12,1594.65,21.55,3.89,28.65,11.68,3.63,1058.55,47.76,16.32,37.37,24.7
71,72,sc19,sharedscratch,no,-1.0,"Janelia Research Campus, HHMI",WekaIO,11/8/2019,19-Feb,wekaio,3.5.2,10,1440,144,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,0.0,-1.0,-1,None,None,None,20.0,4.0,80.0,96,NAND,NVMe,0.15,12.0,Ethernet,27.19,16.0,12.06,22.73,34.64,2295.84,33.41,9.71,111.38,43.15,8.88,647.98,77.14,18.58,71.9,36.55
66,67,sc19,sharedscratch,no,-1.0,"Janelia Research Campus, HHMI",WekaIO,11/9/2019,19-Feb,wekaio,3.5.2,18,1368,76,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,0.0,-1.0,-1,None,None,None,20.0,4.0,80.0,96,NAND,NVMe,0.15,12.0,Ethernet,28.56,32.55,12.93,39.35,34.44,3067.65,34.05,10.78,195.56,77.34,10.12,767.2,100.97,26.22,90.62,48.75
74,75,isc20,sharedscratch,no,-1.0,"Janelia Research Campus, HHMI",WekaIO,7/13/2020,19-Feb,wekaio,3.7.0,10,600,60,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,0.0,-1.0,-1,None,None,None,20.0,4.0,80.0,192,NAND,NVMe,0.15,12.0,Ethernet,11.71,22.59,9.0,9.74,33.73,1088.99,32.47,14.51,91.44,147.39,17.36,407.6,72.17,12.34,79.83,31.39
