index,rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
23,24,isc20,Oakforest-PACS,no,-1.0,JCAHPC,DDN,7/13/2020,12/1/2016,IME,1.2.2,2048,16384,8,CentOS,7.3.1611,3.10.0-514.el7.x86_64,1.0,12.0,-1,NAND,NVMe,Omnipath,24.0,2.0,48.0,-1,NAND,NVMe,0.15,7.2,Omnipath,917.79,1000.35,402.19,309.5,51.39,180.01,38.92,13.09,126.68,40.47,4.74,271.76,187.22,581.43,48.6,168.09
29,30,isc20,Oakforest-PACS,no,-1.0,JCAHPC,DDN,7/13/2020,12/1/2016,IME,1.3.2.1,512,4096,8,CentOS,7.3.1611,3.1,1.0,12.0,-1,NAND,NVMe,Omnipath,24.0,2.0,48.0,-1,NAND,NVMe,0.15,7.2,Omnipath,333.95,574.15,281.95,250.98,12.18,197.2,84.11,11.88,123.41,128.04,23.11,273.76,185.86,341.29,62.74,146.33
22,23,isc20,Oakforest-PACS,no,-1.0,JCAHPC,DDN,7/13/2020,12/1/2016,IME,1.3.2.1,512,4096,8,CentOS,7.3.1611,3.10.0-514.el7.x86_64,1.0,12.0,-1,NAND,NVMe,Omnipath,24.0,2.0,48.0,-1,NAND,NVMe,0.15,7.2,Omnipath,371.7,578.73,292.75,235.43,12.2,1004.53,104.68,2.25,693.18,663.3,23.9,119.84,235.72,348.95,88.62,175.85
77,78,isc20,Officinalis,no,-1.0,None,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),1,112,112,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8.0,8.0,384,NAND,NVMe,25GbE,8.0,8.0,64.0,384,NAND,NVMe,0.15,9.6,4x25GbE,10.25,10.23,7.63,7.51,123.68,359.29,100.24,16.19,92.43,101.85,16.42,255.65,67.49,8.81,85.48,27.43
49,50,isc20,Officinalis,no,-1.0,None,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8.0,8.0,384,NAND,NVMe,25GbE,8.0,8.0,64.0,384,NAND,NVMe,0.15,9.6,4x25GbE,57.47,70.8,11.61,14.13,174.64,719.13,131.73,10.4,132.62,417.7,28.7,1313.62,149.56,28.58,156.48,66.88
67,68,sc19,Oracle Cloud Infrastructure,yes,-1.0,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,10/3/2019,None,Spectrum Scale,5.0.3.2,30,480,16,CentOS,8.0.1905,3.10.0-957.27.2.el7.x86_64,22.0,11.0,768,NAND,NVMe,25GbE,22.0,11.0,242.0,768,NAND,NVMe,0.15,36.3,25GbE,36.38,53.59,3.61,24.55,430.84,604.52,341.63,17.93,31.54,30.86,8.72,1692.21,106.23,20.38,110.93,47.55
73,74,isc20,Oracle Cloud Infrastructure,yes,-1.0,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/15/2020,BeeGFS,7.1.5,10,160,16,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,10.0,1.0,384,NAND,NVMe,100GbE,10.0,10.0,100.0,384,NAND,NVMe,0.15,15.0,Ethernet,26.06,27.22,3.0,18.18,163.2,720.73,327.7,3.02,17.66,61.23,9.61,987.0,73.31,14.02,76.67,32.79
17,18,isc20,Oracle Cloud Infrastructure,yes,-1.0,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/19/2020,BeeGFS,7.1.5,270,3240,12,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,270.0,1.0,384,NAND,NVMe,100GbE,270.0,1.0,270.0,384,NAND,NVMe,0.15,40.5,Ethernet,465.69,665.58,67.57,352.15,2888.24,13150.1,4880.11,1.82,17.63,30.92,7.95,8524.15,436.55,293.05,243.73,267.25
21,22,isc20,Oracle Cloud Infrastructure,yes,-1.0,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/7/2020,BeeGFS,7.1.5,170,2040,12,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,150.0,1.0,384,NAND,NVMe,100GbE,170.0,1.0,170.0,384,NAND,NVMe,0.15,25.5,Ethernet,333.85,422.2,35.72,187.34,1913.3,8261.12,3602.59,2.42,18.24,25.9,8.34,6537.04,331.32,175.24,208.39,191.1
46,47,isc20,Oracle Cloud Infrastructure,yes,-1.0,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/7/2020,Spectrum Scale,5.0.5.0,48,768,16,CentOS,7.8.2003,3.10.0-1127.10.1.el7.x86_64,40.0,10.0,768,NAND,NVMe,100GbE,40.0,10.0,400.0,768,NAND,NVMe,0.15,60.0,Ethernet,83.34,93.46,4.73,40.29,986.28,796.96,408.9,18.9,28.14,48.68,10.08,2211.69,151.28,34.91,144.06,70.91
