,mean_information__ds_storage_type,mean_information__ds_storage_interface,mean_information__client_nodes,mean_information_net_ds_storage_devices,mean_information__ds_storage_price_gb,mean_information__ds_storage_net_price_per_gb,mean_ior__easy_write,mean_ior__easy_read,mean_ior__hard_write,mean_ior__hard_read,mean_mdtest__easy_write,mean_mdtest__easy_stat,mean_mdtest__easy_delete,mean_mdtest__hard_write,mean_mdtest__hard_read,mean_mdtest__hard_stat,mean_mdtest__hard_delete,mean_find__easy,mean_io500__tot_iops,mean_io500__bw,mean_io500__md,mean_io500__score,std_information__ds_storage_type,std_information__ds_storage_interface,std_information__client_nodes,std_information_net_ds_storage_devices,std_information__ds_storage_price_gb,std_information__ds_storage_net_price_per_gb,std_ior__easy_write,std_ior__easy_read,std_ior__hard_write,std_ior__hard_read,std_mdtest__easy_write,std_mdtest__easy_stat,std_mdtest__easy_delete,std_mdtest__hard_write,std_mdtest__hard_read,std_mdtest__hard_stat,std_mdtest__hard_delete,std_find__easy,std_io500__tot_iops,std_io500__bw,std_io500__md,std_io500__score
0,3DXP,DIMM,26.666666666666668,56.0,10.0,560.0,176.52166666666665,343.82,164.21833333333333,289.455,7076.365000000001,6534.264999999999,4062.0533333333333,3242.0399999999995,4742.173333333333,6067.778333333335,4013.8683333333333,4953.411666666667,2972.116666666667,229.22000000000003,4907.048333333333,1058.6816666666666,3DXP,DIMM,20.578305728768505,6.196773353931867,0.0,61.96773353931867,60.69350259020044,184.77964714762282,78.3831406404889,174.6599249684941,4081.5165317844785,3291.989080016821,1920.6241021050075,1843.7865735708135,2676.195516046364,2982.199361286342,1844.6163354303972,2354.977644364521,1471.777224034489,110.80209637005972,2482.230425254003,519.8427230390618
1,3DXP,NVMe,10.0,59.333333333333336,1.2,71.2,65.08666666666666,60.6,3.4166666666666665,24.333333333333332,1837.1066666666666,1833.7866666666666,957.3666666666667,175.21666666666667,529.2966666666667,1709.43,297.55,2297.02,436.0,23.736666666666665,854.9733333333334,142.43333333333334,3DXP,NVMe,0.0,5.773502691896256,0.0,6.928203230275509,2.3964626709659655,19.23624963447917,0.0945163125250523,1.1056370712549997,90.25837929706769,111.32859665572606,57.99306194135067,27.500884228208612,28.5228352961856,76.15580870820027,16.99664378634794,1462.7154327824671,49.544193403465535,1.9633984143146623,110.5373445190961,15.075467930825019
2,HDD,SAS/SATA,48.857142857142854,948.5714285714286,0.019999999999999997,18.97142857142857,19.40357142857143,24.211428571428574,0.8600000000000001,3.9828571428571435,48.64928571428571,179.655,36.03428571428571,15.007857142857143,27.67714285714285,57.04928571428572,12.792857142857144,513.1121428571428,32.83714285714286,4.316428571428572,43.81214285714287,13.168571428571425,HDD,SAS/SATA,87.56787006734757,1819.087755919506,0.0,36.38175511839012,17.204962882906713,24.368565456702253,2.2053257216251616,5.663103835790498,52.39801427010902,144.2858411812629,32.83421613881698,26.81186367107821,29.509631394765762,70.39900343091466,14.281529452985193,783.6630187305153,35.58260993336955,4.292171061081142,48.45639978032138,14.067311731125436
3,NAND,NVMe,14.75,39.833333333333336,0.14999999999999994,5.974999999999999,43.38625000000001,42.958333333333336,6.094166666666666,22.35208333333333,186.38583333333335,637.0629166666666,173.90083333333334,67.27541666666667,150.46708333333336,407.22583333333324,94.77833333333331,1325.9329166666669,155.32375,20.220000000000002,213.03624999999997,61.905833333333334,NAND,NVMe,14.198132149044785,18.65864216753813,0.0,2.798796325130719,37.751348701792736,31.231623837646225,4.036914358297916,20.05817625312554,136.20524895448645,472.76497987421925,172.92410073979465,71.91203593879344,122.26882554363088,424.0893380646877,152.58401693227378,1440.3090321252437,120.13011655166825,12.720548593584287,204.7211633844923,43.60943175972139
