,information__is_cloud_mean,information_net_ds_storage_devices_mean,information__client_nodes_mean,information__client_total_procs_mean,ior__easy_write_mean,ior__easy_read_mean,ior__hard_write_mean,ior__hard_read_mean,mdtest__easy_write_mean,mdtest__easy_stat_mean,mdtest__easy_delete_mean,mdtest__hard_write_mean,mdtest__hard_read_mean,mdtest__hard_stat_mean,mdtest__hard_delete_mean,find__easy_mean,ior__easy_write_norm_mean,ior__easy_read_norm_mean,ior__hard_write_norm_mean,ior__hard_read_norm_mean,mdtest__easy_write_norm_mean,mdtest__easy_stat_norm_mean,mdtest__easy_delete_norm_mean,mdtest__hard_write_norm_mean,mdtest__hard_read_norm_mean,mdtest__hard_stat_norm_mean,mdtest__hard_delete_norm_mean,find__easy_norm_mean,information__is_cloud_std,information_net_ds_storage_devices_std,information__client_nodes_std,information__client_total_procs_std,ior__easy_write_std,ior__easy_read_std,ior__hard_write_std,ior__hard_read_std,mdtest__easy_write_std,mdtest__easy_stat_std,mdtest__easy_delete_std,mdtest__hard_write_std,mdtest__hard_read_std,mdtest__hard_stat_std,mdtest__hard_delete_std,find__easy_std,ior__easy_write_norm_std,ior__easy_read_norm_std,ior__hard_write_norm_std,ior__hard_read_norm_std,mdtest__easy_write_norm_std,mdtest__easy_stat_norm_std,mdtest__easy_delete_norm_std,mdtest__hard_write_norm_std,mdtest__hard_read_norm_std,mdtest__hard_stat_norm_std,mdtest__hard_delete_norm_std,find__easy_norm_std
0,no,116.3,10.0,232.33333333333334,62.19933333333335,56.55199999999999,14.37033333333333,28.35566666666667,690.63,1044.9603333333334,464.2296666666667,166.74733333333336,309.746,770.2136666666667,285.33766666666656,1970.5196666666666,445.2312039427271,466.90758453077126,104.1094879966119,298.9037854112132,5736.916552849487,10131.731950014388,4138.638889924116,1820.7235910677155,3316.220652660354,8603.609900211175,2948.5041583354205,20212.312020394274,no,143.42248897863817,0.0,66.31603193763951,51.9250403969981,47.18875943009865,28.73483785897546,29.549003563727755,990.1956574717251,1004.8168147838187,576.4637548344355,280.4552315732078,488.290858506167,910.7012536860826,506.556725057781,1787.2818270104897,353.7817685785956,514.0744249595461,220.6891741954304,368.839312902647,8107.839645114069,10271.039279144432,5246.24145294628,3018.827410068612,4750.627714553514,9852.800111244487,4867.138577739192,25803.50816729932
1,yes,90.0,10.0,240.0,29.755,46.73,6.4,17.189999999999998,179.9625,806.7175000000001,190.26,10.965000000000002,48.497499999999995,85.47,12.0625,1007.6525,194.15825,313.995825,44.133375,112.85202499999998,1165.7932,5265.36725,1175.771025,76.24045000000001,333.336575,566.312175,79.840475,6444.61675,yes,11.547005383792513,0.0,92.37604307034013,4.883042084602587,23.063002117388503,4.931199989184512,5.032540776453446,13.436756491058407,120.75050348411254,96.81078899929834,9.280964389544872,35.165246456314414,27.82759182298509,4.687539333168309,89.86874220216951,54.86954722257147,186.68829598044573,36.988444563527764,42.673571087217816,230.74215669449455,1439.5305192531537,475.66068717802307,68.82456397345838,266.5514252311846,248.44809913973816,39.393160380229695,555.8752819695708
